configuration,policy,run_id,result_latency_sec,pre_critical_sec,critical_decode_sec,post_critical_sec,unprotected_work_sec,critical_tpot_ms,critical_tpot_p95_ms,overlap_resume_prefill_tokens,overlap_resume_prefill_steps,protected_decode_total_sec,evidence_window_overlap_tokens,diagnosis_window_overlap_tokens,final_window_overlap_tokens,critical_ttft_ms,tool_latency_sec,max_defer_sec,deferred_count,defer_timeout_count,all_background_completed,real_vllm_sse,real_untruncated_tavily,vllm_step_evidence,eligible_resume_window
2-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_210727_648665,21.66202449798584,4.785120487213135,12.177737951278687,4.6991660594940186,9.484286546707153,23.83118972852972,24.120092391967773,0,0,12.177737951278687,0,0,0,78.47929000854492,2.8529927730560303,20.832582235336304,2,0,True,True,True,True,True
2-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_211411_967696,21.5674946308136,4.712500333786011,12.170493125915527,4.6845011711120605,9.397001504898071,23.81701198809301,24.168968200683594,0,0,12.170493125915527,0,0,0,80.36613464355469,1.1423637866973877,24.05408501625061,2,0,True,True,True,True,True
4-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_211539_939912,21.83710813522339,4.939385414123535,12.187840461730957,4.7098822593688965,9.649267673492432,23.850959807692675,24.116039276123047,0,0,12.187840461730957,0,0,0,78.81498336791992,1.0943832397460938,41.149641275405884,4,0,True,True,True,True,True
2-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_211640_864464,21.76202702522278,4.842308759689331,12.19326114654541,4.726457118988037,9.568765878677368,23.86156780145873,24.09648895263672,0,0,12.19326114654541,0,0,0,83.39309692382812,1.1281169652938843,24.25704050064087,2,0,True,True,True,True,True
4-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_211759_882350,21.796016931533813,4.900697946548462,12.195082902908325,4.700236082077026,9.600934028625488,23.86513288240377,24.140596389770508,0,0,12.195082902908325,0,0,0,76.8423080444336,1.1382052898406982,41.256428718566895,4,0,True,True,True,True,True
4-agent motif,Online MAS-aware gating,cs1_critical_frontier_20260810_212029_355311,21.74587345123291,4.82231879234314,12.194574117660522,4.728980541229248,9.551299333572388,23.864137216556795,24.09982681274414,0,0,12.194574117660522,0,0,0,89.11013603210449,1.1361027956008911,41.30042004585266,4,0,True,True,True,True,True
2-agent motif,Default vLLM,cs1_default_vllm_20260810_210810_810564,30.741084337234497,4.697068929672241,21.337912559509277,4.7061028480529785,9.40317177772522,41.757167435438895,32.65094757080078,40521,5,21.337912559509277,0,0,0,76.4923095703125,1.0955309867858887,0.0,0,0,True,True,True,True,True
2-agent motif,Default vLLM,cs1_default_vllm_20260810_211336_969539,30.590360403060913,4.726449012756348,21.163272857666016,4.70063853263855,9.427087545394897,41.415406766469694,32.42611885070801,40522,5,21.163272857666016,0,0,0,76.3094425201416,1.253967523574829,0.0,0,0,True,True,True,True,True
4-agent motif,Default vLLM,cs1_default_vllm_20260810_211454_987511,39.923492431640625,4.873821973800659,30.33783483505249,4.711835622787476,9.585657596588135,59.36953979462327,41.11933708190918,80269,10,30.33783483505249,0,0,0,78.30643653869629,1.2382900714874268,0.0,0,0,True,True,True,True,True
2-agent motif,Default vLLM,cs1_default_vllm_20260810_211724_488807,30.75335454940796,4.672967910766602,21.37774682044983,4.702639818191528,9.37560772895813,41.835120979353874,32.59468078613281,40520,5,21.37774682044983,0,0,0,72.3564624786377,1.1328755617141724,0.0,0,0,True,True,True,True,True
4-agent motif,Default vLLM,cs1_default_vllm_20260810_211900_469207,39.991392374038696,4.805999517440796,30.469058990478516,4.716333866119385,9.52233338356018,59.626338533226054,41.24927520751953,80267,10,30.469058990478516,0,0,0,76.19404792785645,1.1352825164794922,0.0,0,0,True,True,True,True,True
4-agent motif,Default vLLM,cs1_default_vllm_20260810_211944_881733,40.01339769363403,4.82506251335144,30.48399043083191,4.704344749450684,9.529407262802124,59.655558573056574,41.266679763793945,80267,10,30.48399043083191,0,0,0,75.81162452697754,1.1039552688598633,0.0,0,0,True,True,True,True,True
Full workflow,Online MAS-aware gating,20260810_225455_504680,68.160917,55.789398431777954,12.369924545288086,0.0015940229339577172,31.354776100341795,24.20728873833285,24.561405181884766,0,0,36.8061408996582,0,0,0,257.0538520812988,48.73499,53.24667954444885,9,0,True,True,True,True,True
Full workflow,Default vLLM,20260810_225656_210940,77.660694,61.62822508811951,16.03090786933899,0.00156104254151046,31.55763923811341,31.371639666025423,29.12163734436035,53299,9,46.1030547618866,16532,15824,20943,263.3209228515625,52.250168,0.0,0,0,True,True,True,True,True
Full workflow,Online MAS-aware gating,20260810_225833_616521,68.474377,56.081849575042725,12.390952348709106,0.0015750762481729907,31.63875945773316,24.24843903856968,24.65200424194336,0,0,36.835617542266846,0,0,0,264.3089294433594,45.760613,54.3364155292511,9,0,True,True,True,True,True
Full workflow,Default vLLM,20260810_230013_015676,77.564505,61.476107597351074,16.086889505386353,0.001507897262570168,31.409223933105466,31.481192769836305,29.112815856933594,52981,9,46.15528106689453,15539,16430,21012,264.2781734466553,44.701355,0.0,0,0,True,True,True,True,True
Full workflow,Online MAS-aware gating,20260810_230139_499456,68.436957,56.041359663009644,12.393981218338013,0.0016161186523504512,31.58505618403626,24.25436637639533,24.5211124420166,0,0,36.851900815963745,0,0,0,264.5456790924072,19.37854,56.30771350860596,9,0,True,True,True,True,True
Full workflow,Default vLLM,20260810_230309_301565,77.743713,61.64209342002869,16.10004162788391,0.0015779520874019681,31.587299444854736,31.506930778637788,29.088258743286133,52426,9,46.156413555145264,15535,15802,21089,265.9125328063965,48.505616,0.0,0,0,True,True,True,True,True
