workload,run_id,duration_sec,metric,samples,mean_pct,p95_pct
single_agent_control,ascend_bottleneck_r1_20260824_082835_30306,5.5010826587677,ai_core_util_pct,4,90.25,93.0
single_agent_control,ascend_bottleneck_r1_20260824_082835_30306,5.5010826587677,ai_cube_util_pct,4,80.25,80.85
single_agent_control,ascend_bottleneck_r1_20260824_082835_30306,5.5010826587677,hbm_bandwidth_util_pct,4,55.25,74.7
single_agent_control,ascend_bottleneck_r1_20260824_092443_29198,5.483459711074829,ai_core_util_pct,4,81.25,94.0
single_agent_control,ascend_bottleneck_r1_20260824_092443_29198,5.483459711074829,ai_cube_util_pct,4,80.0,80.0
single_agent_control,ascend_bottleneck_r1_20260824_092443_29198,5.483459711074829,hbm_bandwidth_util_pct,4,70.5,74.7
single_agent_control,ascend_bottleneck_r2_20260824_092836_9822,5.508299350738525,ai_core_util_pct,4,91.25,94.0
single_agent_control,ascend_bottleneck_r2_20260824_092836_9822,5.508299350738525,ai_cube_util_pct,4,78.75,81.0
single_agent_control,ascend_bottleneck_r2_20260824_092836_9822,5.508299350738525,hbm_bandwidth_util_pct,4,55.5,74.0
independent_fanin,ascend_bottleneck_r1_20260824_082852_2450,9.61088514328003,ai_core_util_pct,8,81.125,97.95
independent_fanin,ascend_bottleneck_r1_20260824_082852_2450,9.61088514328003,ai_cube_util_pct,8,70.375,81.0
independent_fanin,ascend_bottleneck_r1_20260824_082852_2450,9.61088514328003,hbm_bandwidth_util_pct,8,62.625,75.0
independent_fanin,ascend_bottleneck_r1_20260824_092500_4084,9.808204174041748,ai_core_util_pct,8,92.5,98.3
independent_fanin,ascend_bottleneck_r1_20260824_092500_4084,9.808204174041748,ai_cube_util_pct,8,80.0,81.0
independent_fanin,ascend_bottleneck_r1_20260824_092500_4084,9.808204174041748,hbm_bandwidth_util_pct,8,62.875,75.0
independent_fanin,ascend_bottleneck_r2_20260824_092852_18235,9.503573894500732,ai_core_util_pct,8,81.5,98.0
independent_fanin,ascend_bottleneck_r2_20260824_092852_18235,9.503573894500732,ai_cube_util_pct,8,70.0,81.0
independent_fanin,ascend_bottleneck_r2_20260824_092852_18235,9.503573894500732,hbm_bandwidth_util_pct,8,62.875,75.65
centralized_manager_worker,ascend_bottleneck_r1_20260824_082913_27126,13.260420322418213,ai_core_util_pct,11,82.81818181818181,95.5
centralized_manager_worker,ascend_bottleneck_r1_20260824_082913_27126,13.260420322418213,ai_cube_util_pct,11,69.36363636363636,81.0
centralized_manager_worker,ascend_bottleneck_r1_20260824_082913_27126,13.260420322418213,hbm_bandwidth_util_pct,11,72.9090909090909,76.0
centralized_manager_worker,ascend_bottleneck_r1_20260824_092521_31229,13.203961610794067,ai_core_util_pct,9,92.55555555555556,95.6
centralized_manager_worker,ascend_bottleneck_r1_20260824_092521_31229,13.203961610794067,ai_cube_util_pct,9,76.55555555555556,80.0
centralized_manager_worker,ascend_bottleneck_r1_20260824_092521_31229,13.203961610794067,hbm_bandwidth_util_pct,9,72.33333333333333,75.0
centralized_manager_worker,ascend_bottleneck_r2_20260824_092914_20465,13.091754674911499,ai_core_util_pct,10,90.6,95.0
centralized_manager_worker,ascend_bottleneck_r2_20260824_092914_20465,13.091754674911499,ai_cube_util_pct,10,79.7,81.0
centralized_manager_worker,ascend_bottleneck_r2_20260824_092914_20465,13.091754674911499,hbm_bandwidth_util_pct,10,56.9,75.0
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_082938_31121,25.82512378692627,ai_core_util_pct,20,90.25,100.0
debate_allgather_pressure_meso,ascend_bottleneck_r1_20260824_082938_31121,25.82512378692627,ai_cube_util_pct,20,80.45,81.35000000000001
