hardware,workload,run_id,request_count,result_latency_sec,tool_latency_sec,tool_excluded_e2e_sec,median_ttft_ms,p95_ttft_ms,median_tpot_ms,median_request_latency_sec,total_input_tokens,total_output_tokens
A6000,centralized_manager_worker,r1_20260817_213959_14146,6,21.233965158462524,0.7696563660283573,20.464308792434167,268.1654691696167,394.9422836303711,24.33261945182246,5.44107644649921,8097,1244
A6000,centralized_manager_worker,r2_20260817_214538_14723,6,20.954931259155273,0.7259402929921634,20.22899096616311,199.58174228668213,288.6601686477661,24.350882208500334,5.426312398019945,8112,1240
A6000,debate_allgather_pressure_meso,r1_20260817_195543_30088,14,37.68691635131836,1.0857497380347922,36.60116661328357,333.1868648529053,777.9603838920593,25.520641579587235,7.1233843980007805,37443,3845
A6000,debate_allgather_pressure_meso,r2_20260817_200009_12819,14,37.834758043289185,1.3968307540053502,36.437927289283834,388.39244842529297,662.956964969635,25.576886967716053,7.094062491494697,37406,3856
A6000,hierarchical_synthesis_pressure_meso,r1_20260817_195828_19241,8,22.617210865020752,2.1005288119777106,20.51668205304304,81.47978782653809,573.8826394081115,23.860010166418547,6.147730018506991,7295,1975
A6000,hierarchical_synthesis_pressure_meso,r2_20260817_200241_27426,8,22.684919118881226,2.761844475986436,19.92307464289479,75.09815692901611,535.9430551528931,23.856855347478124,6.074874570505926,7291,1982
A6000,independent_fanin,r1_20260817_213912_16348,6,17.82168960571289,3.494069402979221,14.32762020273367,366.9476509094238,386.9771957397461,24.791368197476086,5.318732230487512,10570,1142
A6000,independent_fanin,r2_20260817_214450_13978,6,18.82236647605896,4.286747461010236,14.535619015048724,369.7981834411621,373.1951117515564,24.762952217531886,5.3059450984874275,10550,1150
A6000,issue_to_patch_workflow,r1_20260817_214200_29000,15,55.75347447395325,1.9772533800569363,53.77622109389631,122.73144721984863,616.2731170654297,23.952485200000986,5.495810060005169,17780,3269
A6000,issue_to_patch_workflow,r2_20260817_214946_4028,15,70.299236536026,16.417366795998532,53.88186974002747,138.63825798034668,588.8745784759521,23.93412129314625,5.487599582993425,17777,3275
A6000,retry_debug_loop,r1_20260817_214050_20874,6,31.04790711402893,2.2942484359955415,28.75365867803339,329.6821117401123,363.1998896598816,24.271839005606516,4.872557209513616,13272,1119
A6000,retry_debug_loop,r2_20260817_214640_28458,6,32.191654443740845,3.9902546550147235,28.20139978872612,250.91755390167236,288.6539697647095,24.276907103402273,4.834294579020934,13292,1109
A6000,shared_memory_fanin_meso,r1_20260817_195706_24860,10,35.392420053482056,10.557804484968074,24.834615568513982,182.43908882141113,509.52696800231934,24.143844666408828,5.737647461501183,10173,2440
A6000,shared_memory_fanin_meso,r2_20260817_200134_25160,10,32.63418197631836,1.078670909977518,31.55551106634084,167.8985357284546,496.9178557395935,24.190359324945142,5.722533855994698,10186,2417
A6000,single_agent_control,r1_20260817_213832_32160,2,20.812570810317993,12.382070118037518,8.430500692280475,204.86366748809814,329.83540296554565,24.082898806170046,4.1812809974944685,2700,331
A6000,single_agent_control,r2_20260817_214416_9143,2,9.63913631439209,1.1067868230165914,8.532349491375498,193.25721263885498,307.0314764976501,24.09194070012962,4.242111927509541,2700,337
Ascend 910,centralized_manager_worker,ascend_r1_20260824_073407_7455,6,13.455325365066528,0.0,13.455325365066528,200.4319429397583,287.57572174072266,16.38253637718541,3.6808872499968857,8065,1227
Ascend 910,centralized_manager_worker,ascend_r2_20260824_073800_14040,6,13.200962781906128,0.0,13.200962781906128,112.81323432922363,149.09201860427856,16.370516725771722,3.5890379501506686,8065,1230
Ascend 910,debate_allgather_pressure_meso,ascend_r1_20260824_073431_17302,14,27.612035036087036,0.0,27.612035036087036,337.74852752685547,1008.0404162406917,18.00877246421966,5.384099069982767,37291,3858
Ascend 910,debate_allgather_pressure_meso,ascend_r2_20260824_073824_13077,14,25.419896602630615,0.0,25.419896602630615,226.271390914917,318.84403228759766,17.955409155951603,4.971618400071748,37295,3848
Ascend 910,hierarchical_synthesis_pressure_meso,ascend_r1_20260824_073611_29023,8,14.829936265945435,0.0,14.829936265945435,110.34715175628662,374.3753910064697,15.893264501434617,4.0810350200627,7266,1966
Ascend 910,hierarchical_synthesis_pressure_meso,ascend_r2_20260824_074002_26174,8,14.718547821044922,0.0,14.718547821044922,110.20803451538086,202.92866230010986,15.836411871514294,3.967996090068482,7266,1967
Ascend 910,independent_fanin,ascend_r1_20260824_073345_22671,6,9.830899715423584,0.0,9.830899715423584,300.2523183822632,309.67938899993896,17.266282098493047,3.622074340004474,10548,1150
Ascend 910,independent_fanin,ascend_r2_20260824_073740_15559,6,9.60465955734253,0.0,9.60465955734253,165.35639762878418,170.8475947380066,17.38412837939491,3.555327789974399,10549,1144
Ascend 910,issue_to_patch_workflow,ascend_r1_20260824_073637_25754,15,35.55188179016113,0.0,35.55188179016113,120.4833984375,401.47409439086914,15.64919599429334,3.5624356099870056,17675,3271
Ascend 910,issue_to_patch_workflow,ascend_r2_20260824_074028_16691,15,35.13762187957764,0.0,35.13762187957764,119.4157600402832,159.91168022155762,15.601240940173799,3.562701449962333,17676,3265
Ascend 910,retry_debug_loop,ascend_r1_20260824_073542_21535,6,18.47198462486267,0.0,18.47198462486267,226.57978534698486,240.15378952026367,15.91435045818014,3.2130407349905,13246,1086
Ascend 910,retry_debug_loop,ascend_r2_20260824_073933_24952,6,17.929112672805786,0.0,17.929112672805786,90.97504615783691,104.10565137863159,15.911650252885206,3.146196805057116,13243,1091
Ascend 910,shared_memory_fanin_meso,ascend_r1_20260824_073509_19246,10,22.292541027069092,0.0,22.292541027069092,172.83916473388672,342.1447277069092,16.261813179062994,3.8064240699168295,10119,2452
Ascend 910,shared_memory_fanin_meso,ascend_r2_20260824_073901_16158,10,21.437620162963867,0.0,21.437620162963867,139.13607597351074,185.64860820770264,16.263989851583815,3.8006634149933234,10115,2405
Ascend 910,single_agent_control,ascend_r1_20260824_073328_22753,2,5.496552228927612,0.0,5.496552228927612,69.61870193481445,78.56934070587158,15.547284867987111,2.721094029955566,2696,340
Ascend 910,single_agent_control,ascend_r2_20260824_073723_16088,2,5.500510931015015,0.0,5.500510931015015,72.55446910858154,82.5656533241272,15.53325684220732,2.7196162650361657,2696,340
