workload,parallel branch,barrier wait,fan-in context,all-gather broadcast,tool stall,post-tool burst,retry loop,shared memory dataflow,critical candidate,contention opportunity
single,0,0,2,0,2,1,0,0,1,1
independent,2,2,2,0,2,2,0,0,2,1
centralized,2,2,2,0,2,2,0,0,2,1
decentralized,2,2,2,2,2,2,0,0,2,1
hybrid,2,2,2,0,2,2,0,0,2,1
planner_executor,0,0,2,0,0,0,0,0,2,0
evidence_collection,2,2,2,0,2,2,0,0,2,1
researcher_synthesizer,2,2,2,0,2,2,0,0,2,1
generator_verifier,0,0,2,0,0,0,1,0,2,0
coder_reviewer,0,0,2,0,0,0,2,0,2,0
multi_coder_branch,2,2,2,0,0,0,0,0,2,0
debate_reviewer,2,2,2,2,0,0,0,0,2,0
tool_specialist_team,2,2,2,0,2,2,0,0,2,1
all_gather_round,2,2,2,3,0,0,0,0,2,0
shared_evidence_store,2,2,2,0,2,2,0,3,2,1
retry_debug_loop,0,0,2,0,0,0,2,0,2,0
router_handoff,0,0,2,0,0,0,0,0,2,0
tool_resume_contention_meso,2,2,2,0,3,3,0,0,3,3
