name,mode,status,run_count,avg_makespan_sec,avg_llm_request_count,avg_total_tokens_est,avg_tool_time_sec,avg_barrier_wait_sec,avg_context_amplification_ratio,avg_request_burstiness,avg_manager_serialization_ratio,avg_fanin_amplification_ratio,avg_broadcast_amplification_ratio,detected_signatures,confidence,representative_trace_path
single,topology,present,1,72.2179,3,6688,2.5003,0,2.6301,1.0,0.8101,1.6301,0.0,critical_path_concentration;fanin_context_amplification,medium,traces/single/astropy__astropy-12907/20260520_185908_021014.jsonl
independent,topology,present,1,100.0115,8,13271,9.9974,2.6765,1.614,1.875,0.5862,0.4922,0.1218,critical_path_concentration;parallel_request_burst;barrier_straggler;fanin_context_amplification;tool_stall_blocking;post_tool_burst,medium,traces/independent/astropy__astropy-12907/20260520_190023_893436.jsonl
centralized,topology,present,1,95.3866,17,24216,20.2913,3.8458,1.026,3.0588,0.6838,0.0221,0.0039,serial_manager_bottleneck;critical_path_concentration;parallel_request_burst;barrier_straggler;tool_stall_blocking;post_tool_burst,high,traces/centralized/astropy__astropy-12907/20260520_190205_926854.jsonl
decentralized,topology,present,1,134.8789,22,42698,27.627,18.804,1.2663,2.0455,0.2358,0.0385,0.2279,critical_path_concentration;parallel_request_burst;barrier_straggler;fanin_context_amplification;all_to_all_broadcast_amplification;tool_stall_blocking;post_tool_burst,medium,traces/decentralized/astropy__astropy-12907/20260520_190344_677199.jsonl
hybrid,topology,present,1,217.9545,47,121700,68.0119,46.6863,1.1423,2.5532,0.3953,0.0362,0.1061,serial_manager_bottleneck;critical_path_concentration;parallel_request_burst;barrier_straggler;fanin_context_amplification;all_to_all_broadcast_amplification;tool_stall_blocking;post_tool_burst,medium,traces/hybrid/astropy__astropy-12907/20260520_191025_651195.jsonl
planner_executor,motif,present,5,55.4448,7.6,24090.6,14.206,0,1.1606,1.0,0.4456,0.1606,0.0,critical_path_concentration;tool_stall_blocking;serial_manager_bottleneck;fanin_context_amplification,high,../traces/planner_executor/manual_ffe95ccafff7/20260524_133009_839083.jsonl
evidence_collection,motif,present,9,87.7079,13.8889,33838.33,26.5521,25.2196,1.2776,1.2818,0.3093,0.2009,0.0767,barrier_straggler;tool_stall_blocking;critical_path_concentration;fanin_context_amplification;post_tool_burst;parallel_request_burst,medium,../traces/evidence_collection/manual_9ce933384a80/20260524_144931_367467.jsonl
researcher_synthesizer,motif,present,10,62.1662,9.8,14333.5,9.2914,14.0162,1.3563,1.6734,0.4747,0.3534,0.0029,parallel_request_burst;barrier_straggler;tool_stall_blocking;post_tool_burst;critical_path_concentration;fanin_context_amplification,medium,../traces/researcher_synthesizer/manual_c76bada58e63/20260524_125007_558448.jsonl
generator_verifier,motif,present,9,70.3285,7.6667,16701.67,13.5368,0,1.2971,1.0,0.1957,0.3776,0.0,critical_path_concentration;fanin_context_amplification;tool_stall_blocking;retry_amplification;serial_manager_bottleneck,medium,../traces/generator_verifier/manual_e19bc36c006c/20260524_135400_492906.jsonl
coder_reviewer,motif,present,9,65.7373,6.8889,13512.89,6.2992,0,1.2685,1.0,0.5866,0.2685,0.0,serial_manager_bottleneck;critical_path_concentration;fanin_context_amplification;tool_stall_blocking;retry_amplification,high,../traces/coder_reviewer/manual_036e5114cf89/20260524_135541_687140.jsonl
multi_coder_branch,motif,present,8,87.3465,11.625,23510,14.8847,20.7805,1.3379,1.8048,0.5006,0.3359,0.1329,serial_manager_bottleneck;critical_path_concentration;parallel_request_burst;barrier_straggler;tool_stall_blocking;fanin_context_amplification;post_tool_burst,high,../traces/multi_coder_branch/manual_fd02a89809ee/20260524_130440_127563.jsonl
debate_reviewer,motif,present,8,130.2424,17.75,40795.12,15.6215,30.0148,1.7875,1.6304,1.1089,0.155,0.6848,serial_manager_bottleneck;parallel_request_burst;barrier_straggler;all_to_all_broadcast_amplification;fanin_context_amplification;tool_stall_blocking;post_tool_burst,high,../traces/debate_reviewer/manual_d2950e980d1e/20260524_133837_666995.jsonl
tool_specialist_team,motif,present,9,66.6441,10.5556,21536.78,21.2222,23.5631,1.2155,1.696,0.1903,0.2155,0.0,barrier_straggler;tool_stall_blocking;post_tool_burst;parallel_request_burst;fanin_context_amplification;critical_path_concentration,medium,../traces/tool_specialist_team/manual_28630a581ac1/20260524_140124_077532.jsonl
all_gather_round,motif,present,7,90.7976,11.7143,28532.71,7.7078,29.0146,1.807,1.6047,0.1502,0.0835,0.7235,barrier_straggler;all_to_all_broadcast_amplification;tool_stall_blocking;post_tool_burst;fanin_context_amplification;parallel_request_burst;critical_path_concentration,medium,../traces/all_gather_round/manual_48abc59335d4/20260524_140245_496982.jsonl
shared_evidence_store,motif,present,4,65.4116,14.25,32367.25,16.6615,23.9538,1.1276,1.5278,0.2137,0.2728,0.0,barrier_straggler;fanin_context_amplification;post_tool_burst;shared_memory_dataflow;tool_stall_blocking;parallel_request_burst,medium,../traces/shared_evidence_store/manual_448267fd8f10/20260524_141020_269028.jsonl
retry_debug_loop,motif,present,5,127.6557,15.4,38987.4,18.4116,0,1.0597,1.0,0.0936,0.0597,0.0,critical_path_concentration;tool_stall_blocking;retry_amplification;fanin_context_amplification;post_tool_burst,medium,../traces/retry_debug_loop/manual_14a151f4fdd7/20260524_140559_862035.jsonl
router_handoff,motif,present,8,43.6179,5.375,5556.12,4.9819,0,1.4726,1.0,0.596,0.4726,0.0,serial_manager_bottleneck;critical_path_concentration;fanin_context_amplification;tool_stall_blocking,high,../traces/router_handoff/manual_948b86fdf21c/20260524_125809_047461.jsonl
