backend_base_url,barrier_wait,composed_subgraphs,critical_path_ratio,critical_time,end_time,end_to_end_latency,idle_wait,input_tokens,llm_time,max_concurrent_running_requests,max_gpu_cache_usage_perc,max_query_e2e,max_waiting_requests,merge_time,model_name,motif_type,potential_prefix_reuse_rate,potential_prefix_tokens,prefix_cache_hits_total_delta,prefix_cache_queries_total_delta,prompt_id,query_count,start_time,status,task_id,tool_time,trace_path,workflow_name,workflow_run_id,workflow_type
http://127.0.0.1:8000/v1,0.39617999999999753,"[""decentralized"", ""centralized""]",0.2309465384294297,11.441825,49.544786,49.543176,38.101351,65467.0,194.23832300000004,6.0,0.030526,8.046882,4.0,5.619784,local-mas-model,debate,0.7931018681167611,51922.0,15840.0,121225.0,manual_b680a8555bda,26,0.00161,success,manual_b680a8555bda,6.811171010835096,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/debate_allgather_pressure_meso/manual_b680a8555bda/20260603_152251_329250.jsonl,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250,motif
http://127.0.0.1:8000/v1,0.22183899999999923,"[""independent""]",0.6394271595069521,16.830212,26.322232,26.320764999999998,9.490552999999998,5163.0,41.376572,4.0,0.013684,6.218331,0.0,11.276544999999999,local-mas-model,independent_multi_branch,0.0,0.0,0.0,5521.0,manual_a7f81e645dd6,7,0.001467,success,manual_a7f81e645dd6,12.105801089899614,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/evidence_collection/manual_a7f81e645dd6/20260603_152058_347660.jsonl,evidence_collection,evidence_collection_20260603_152058_347660,motif
http://127.0.0.1:8000/v1,0.26697399999999405,"[""independent"", ""centralized""]",0.48440255325066084,16.923246,34.938314,34.936327,18.013081,14974.0,169.698398,16.0,0.042105,7.929922,3.0,32.025699,local-mas-model,manager_worker,0.5849472418859356,8759.0,0.0,19043.0,manual_cc72b4a208dc,23,0.001987,success,manual_cc72b4a208dc,3.0071452101692557,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/hierarchical_synthesis_pressure_meso/manual_cc72b4a208dc/20260603_152341_398008.jsonl,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008,motif
http://127.0.0.1:8000/v1,1.3632810000000006,[],0.27697323688335895,17.096935,61.729982,61.727751,44.630815999999996,33177.0,169.72011,4.0,0.014737,6.522437,1.0,5.838933,local-mas-model,hybrid_manager_peer,0.576091870874401,19113.0,1056.0,37976.0,manual_094d8a1535b0,27,0.002231,success,manual_094d8a1535b0,20.248874958837405,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/hybrid/manual_094d8a1535b0/20260603_152755_367539.jsonl,hybrid,hybrid_20260603_152755_367539,topology
http://127.0.0.1:8000/v1,0.0,"[""centralized""]",0.9475835644131864,61.237784000000005,64.626301,64.625207,3.3874229999999983,6168.0,61.237784000000005,1.0,0.004211,5.618677,0.0,5.615997,local-mas-model,review_loop,0.4583333333333333,2827.0,0.0,6594.0,manual_f5253193ba44,11,0.001094,success,manual_f5253193ba44,2.847539796959609,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/retry_debug_pressure_meso/manual_f5253193ba44/20260603_152146_223035.jsonl,retry_debug_pressure_meso,retry_debug_pressure_meso_20260603_152146_223035,motif
http://127.0.0.1:8000/v1,0.950094,"[""independent"", ""centralized""]",0.4055746404957058,11.278394,27.810433,27.80843,16.530036000000003,11202.0,48.481015,4.0,0.012105,6.45768,0.0,5.554071,local-mas-model,independent_multi_branch,0.2429923227995001,2722.0,2112.0,13435.0,manual_2a3784ba6267,8,0.002003,success,manual_2a3784ba6267,6.348850884009153,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/shared_memory_fanin_meso/manual_2a3784ba6267/20260603_152552_989083.jsonl,shared_memory_fanin_meso,shared_memory_fanin_meso_20260603_152552_989083,motif
http://127.0.0.1:8000/v1,11.182154,"[""independent"", ""centralized""]",0.796498003210437,33.039004,41.482346,41.480335,8.441330999999998,19070.0,192.28713599999998,10.0,0.029474,9.031864,0.0,15.584471,local-mas-model,composite_tool_resume,0.43083377031987413,8216.0,5808.0,20414.0,manual_05d4ecc699a6,22,0.002011,success,manual_05d4ecc699a6,14.731175777735189,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_05d4ecc699a6/20260603_163652_571098.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163652_571098,motif
http://127.0.0.1:8000/v1,10.294559,"[""independent"", ""centralized""]",0.7953580768550191,33.068322,41.578991,41.576647,8.508325,19131.0,194.700831,10.0,0.028947,9.084063,0.0,15.587814999999999,local-mas-model,composite_tool_resume,0.5544927081699859,10608.0,7920.0,20410.0,manual_0800559562bc,22,0.002344,success,manual_0800559562bc,9.93567012110725,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_0800559562bc/20260603_163938_901759.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163938_901759,motif
http://127.0.0.1:8000/v1,8.654266000000002,"[""independent"", ""centralized""]",0.7968163488451843,23.847342,29.930312,29.928279,6.080936999999999,8754.0,87.050107,6.0,0.015789,6.435365,0.0,11.538648,local-mas-model,composite_tool_resume,0.3365318711446196,2946.0,0.0,9453.0,manual_15054a3d3f23,14,0.002033,success,manual_15054a3d3f23,8.899195294827223,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_15054a3d3f23/20260603_152522_507846.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_152522_507846,motif
http://127.0.0.1:8000/v1,10.909765,"[""independent"", ""centralized""]",0.7939635512138105,31.691810999999998,39.918025,39.915952,8.224141,11218.0,114.322589,6.0,0.017368,8.400177,0.0,15.303080999999999,local-mas-model,composite_tool_resume,0.4727224104118381,5303.0,1584.0,12051.0,manual_4e9a96db2f92,14,0.002073,success,manual_4e9a96db2f92,9.82429804210551,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_4e9a96db2f92/20260603_163612_203397.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163612_203397,motif
