actual_cached_blocks,actual_new_blocks,actual_prefix_cache_hit_rate,actual_prefix_cache_hit_tokens,cache_eviction_count,dynamic_context_new_tokens,input_tokens,inter_workflow_prefix_match_tokens,intra_workflow_prefix_match_tokens,motif_type,node_id,potential_prefix_match_tokens,potential_prefix_reuse_rate,potential_prefix_source,private_context_reuse_tokens,request_id,shared_context_reuse_tokens,workflow_name,workflow_run_id
unavailable,unavailable,unavailable,unavailable,unavailable,2571,2571,0,0,debate,opinion_3,0,0.0,none,2567,7bd2897b-6860-418d-8f20-8446d39bd9b2,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,0,2571,0,2571,debate,opinion_1,2571,1.0,exact_prompt_hash,2567,bdec2609-b9c8-4148-8027-5c8a63663ea9,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,0,2571,0,2571,debate,opinion_2,2571,1.0,exact_prompt_hash,2567,61d051b0-f780-46b2-9391-95e6c0c94faf,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,0,2571,0,2571,debate,opinion_5,2571,1.0,exact_prompt_hash,2567,17fe560b-ebbf-4119-86b1-7519e6d8040c,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,0,2571,0,2571,debate,opinion_6,2571,1.0,exact_prompt_hash,2567,1477ec11-5798-4d2b-9c42-413382ebc043,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,0,2571,0,2571,debate,opinion_4,2571,1.0,exact_prompt_hash,2567,2ecd801b-f814-490a-b582-d0bbe16e2a1a,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,696,2625,0,1929,debate,agent_3_round_1,1929,0.7348571428571429,segment_token_proxy,368,00d17cec-454f-4e7f-83b7-1c2393b7efa5,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,416,2627,0,2211,debate,agent_6_round_1,2211,0.8416444613627713,shared_block_hash,369,fd9fba1b-7aa1-4734-8134-825c54800022,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,415,2626,0,2211,debate,agent_2_round_1,2211,0.8419649657273419,shared_block_hash,368,253d5eae-7b43-4a46-9ff3-f90f867b72a1,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,414,2625,0,2211,debate,agent_1_round_1,2211,0.8422857142857143,shared_block_hash,369,46693d12-6fa2-4866-a2f2-b4f8a468a65c,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,415,2626,0,2211,debate,agent_4_round_1,2211,0.8419649657273419,shared_block_hash,369,ae0a6f35-507f-4452-b30a-19567c3f6cf0,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,413,2624,0,2211,debate,agent_5_round_1,2211,0.8426067073170732,shared_block_hash,368,1d3b4aad-b572-474b-9bd7-2861af51c6b8,2211,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,666,2638,0,1972,debate,agent_2_round_2,1972,0.7475360121304018,segment_token_proxy,369,241ded7e-cd26-4c28-bb5f-242d6b84ee70,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,426,2638,0,2212,debate,agent_1_round_2,2212,0.8385140257771039,shared_block_hash,368,774f89f5-e575-4898-ae4f-1eb0e95d5b25,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,427,2639,0,2212,debate,agent_5_round_2,2212,0.8381962864721485,shared_block_hash,369,04327ddd-5c5a-4016-928b-a1dce0be5a82,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,427,2639,0,2212,debate,agent_6_round_2,2212,0.8381962864721485,shared_block_hash,369,a25ae34f-180a-4cb2-a6a2-3a9aec953284,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,427,2639,0,2212,debate,agent_3_round_2,2212,0.8381962864721485,shared_block_hash,369,34720b53-8d8e-4e26-82e0-80eab9d74b05,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,427,2639,0,2212,debate,agent_4_round_2,2212,0.8381962864721485,shared_block_hash,368,86fecec2-fbed-4a58-873a-ecf97f366be0,2212,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,661,2642,0,1981,debate,agent_1_round_3,1981,0.7498107494322483,segment_token_proxy,369,829efaa2-c817-47e4-9eec-a3c1d28a2509,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,427,2641,0,2214,debate,agent_4_round_3,2214,0.8383188186293071,shared_block_hash,368,fb0559cc-42a1-4197-b8ff-5660e041442c,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,429,2643,0,2214,debate,agent_2_round_3,2214,0.8376844494892168,shared_block_hash,370,af3a9533-bc9a-4759-858f-7b82b1c6b7e0,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,426,2640,0,2214,debate,agent_5_round_3,2214,0.8386363636363636,shared_block_hash,368,b22355a5-b6ff-4274-b8de-b8ffba1cb3f0,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,429,2643,0,2214,debate,agent_3_round_3,2214,0.8376844494892168,shared_block_hash,370,317db7c2-7a9a-4543-9049-08ffc09ef1a3,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,429,2643,0,2214,debate,agent_6_round_3,2214,0.8376844494892168,shared_block_hash,369,d73f5d40-03bb-41e5-9329-e776031812d5,2214,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,2224,2224,0,0,debate,consensus_reviewer,0,0.0,none,0,d2fcb631-a000-40d5-b9ca-fe97d089a4b4,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,380,380,0,0,debate,finalizer,0,0.0,none,0,4f2c96d6-160e-4197-8ad0-110dbb54b2cd,0,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250
unavailable,unavailable,unavailable,unavailable,unavailable,70,70,0,0,independent_multi_branch,planner,0,0.0,none,0,41be7924-208b-4148-8ec5-db11cd140eaa,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,887,887,0,0,independent_multi_branch,tool_agent,0,0.0,none,0,be8a42e0-378d-4ef3-ae4f-aa5faf435038,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,887,887,0,0,independent_multi_branch,searcher,0,0.0,none,0,c0498925-63d1-4c62-a745-01b6101462c9,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,867,867,0,0,independent_multi_branch,repo_searcher,0,0.0,none,0,13b76780-6478-4607-8a10-508345bbbf9d,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,896,896,0,0,independent_multi_branch,doc_searcher,0,0.0,none,0,29d9dafe-f4de-4017-bff9-6d0fcb916853,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,1182,1182,0,0,independent_multi_branch,evidence_merge,0,0.0,none,0,35f8a255-3358-4d35-9693-b94de938e1c6,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,374,374,0,0,independent_multi_branch,finalizer,0,0.0,none,0,68bbbd98-bc9e-4149-b7c2-cbe2926c2def,0,evidence_collection,evidence_collection_20260603_152058_347660
unavailable,unavailable,unavailable,unavailable,unavailable,1083,1083,0,0,manager_worker,hier_planner,0,0.0,none,0,c950866a-78b9-4b0f-9ac0-d7b7d8c9a24b,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,380,380,0,0,manager_worker,group_2_agent_1,0,0.0,none,375,3acf8b34-db8a-4441-88f4-bca2815e4c35,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,94,380,0,286,manager_worker,group_1_agent_3,286,0.7526315789473684,segment_token_proxy,375,01aacb24-bffd-4a03-8de1-aeaa931b797f,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_2_agent_2,380,1.0,exact_prompt_hash,375,88df8ce0-40dd-427f-97c8-39f331aab5c2,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,94,380,0,286,manager_worker,group_3_agent_1,286,0.7526315789473684,segment_token_proxy,375,04b20d39-8af0-4c27-9534-876af71894dd,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,94,380,0,286,manager_worker,group_4_agent_3,286,0.7526315789473684,segment_token_proxy,375,abe0d8ad-6c84-4e8c-956a-3a093f214775,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_4_agent_4,380,1.0,exact_prompt_hash,375,5a20a289-dfc8-4353-b629-9ec09dd3d773,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_3_agent_3,380,1.0,exact_prompt_hash,375,55b456d9-6542-4bb7-95bd-246a44e11842,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_2_agent_4,380,1.0,exact_prompt_hash,375,f126b20c-9466-4b64-9dc5-f5687332d5ac,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_3_agent_2,380,1.0,exact_prompt_hash,375,203499c7-0cbc-4d49-b68c-b715549a7b26,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_2_agent_3,380,1.0,exact_prompt_hash,375,80064def-5c4b-4963-b8e9-e0ce8d5c185e,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_4_agent_2,380,1.0,exact_prompt_hash,375,68d9a247-7800-4088-8758-613824ed01d0,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_1_agent_4,380,1.0,exact_prompt_hash,375,1d3b5f53-317f-4954-b38d-5e196138554b,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_3_agent_4,380,1.0,exact_prompt_hash,375,6b94f825-29fc-4f7c-a00c-d9dccad13d9e,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_1_agent_2,380,1.0,exact_prompt_hash,375,4d366499-f3f9-4bc4-9f5d-6abfd92252f4,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_1_agent_1,380,1.0,exact_prompt_hash,375,7544a4c4-cfd3-4616-8691-3b21538a5f6e,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,0,380,0,380,manager_worker,group_4_agent_1,380,1.0,exact_prompt_hash,375,d081811d-1312-47ea-b4c8-81426dfdbe0d,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,1494,1494,0,0,manager_worker,group_3_synth,0,0.0,none,0,57a9b7f2-bd31-4de5-9ae0-e0b719438d63,1487,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,369,1481,0,1112,manager_worker,group_2_synth,1112,0.7508440243079001,segment_token_proxy,0,7ec8931d-7f82-4c53-9ffc-5c24192e556e,1473,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,368,1476,0,1108,manager_worker,group_1_synth,1108,0.7506775067750677,segment_token_proxy,0,6bef46be-75dd-40f5-ab79-8c4c9bc47060,1470,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,374,1495,0,1121,manager_worker,group_4_synth,1121,0.7498327759197324,segment_token_proxy,0,4ce694c6-b9f0-4b43-b2f5-28d61aed61f4,1488,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,1492,1492,0,0,manager_worker,cross_group_reviewer,0,0.0,none,0,21ef1f03-e076-414c-96a2-0cc66a2ea541,1483,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,373,373,0,0,manager_worker,global_synthesizer,0,0.0,none,0,1b0fd7d5-da1d-46f9-a529-206411170ac9,0,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008
unavailable,unavailable,unavailable,unavailable,unavailable,238,238,0,0,hybrid_manager_peer,hybrid_manager_r0,0,0.0,none,0,590b44f4-3f83-4626-9723-7b89d583b11a,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,1274,1274,0,0,hybrid_manager_peer,hybrid_agent_code_localization_mr0,0,0.0,none,0,ee435af3-4292-45c9-99a4-907238551607,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,922,1883,0,961,hybrid_manager_peer,hybrid_agent_api_doc_mr0,961,0.5103558151885289,segment_token_proxy,0,20335a1f-d088-4c48-ace0-3dcfee3e19f9,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,267,1090,0,823,hybrid_manager_peer,hybrid_agent_issue_triage_mr0,823,0.755045871559633,segment_token_proxy,0,0c4f70d0-bd3c-409d-ae66-9c647b68144c,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,240,984,0,744,hybrid_manager_peer,hybrid_agent_repo_search_mr0,744,0.7560975609756098,segment_token_proxy,0,70c57802-da70-4be5-971f-6eb41d9d6bc3,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,1173,1173,0,0,hybrid_manager_peer,hybrid_agent_issue_triage_mr0_pr1,0,0.0,none,0,3bb8fd0a-b35e-4ad9-89fd-3ac3298ba902,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,295,1176,0,881,hybrid_manager_peer,hybrid_agent_api_doc_mr0_pr1,881,0.7491496598639455,segment_token_proxy,0,8bd59579-b260-43c7-a731-91b709ae2838,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,293,1175,0,882,hybrid_manager_peer,hybrid_agent_code_localization_mr0_pr1,882,0.7506382978723404,segment_token_proxy,0,4ddb3d99-c4b3-4478-a6b0-b11a3e517d7b,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,291,1170,0,879,hybrid_manager_peer,hybrid_agent_repo_search_mr0_pr1,879,0.7512820512820513,segment_token_proxy,0,90ab135a-2cdf-41d5-ba50-c38e18bd903e,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,290,1163,0,873,hybrid_manager_peer,hybrid_agent_issue_triage_mr0_pr2,873,0.7506448839208942,segment_token_proxy,0,cc0b1593-1648-466e-b2dd-7d4ac3d6287d,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,289,1162,0,873,hybrid_manager_peer,hybrid_agent_code_localization_mr0_pr2,873,0.7512908777969018,segment_token_proxy,0,55e11c00-19c6-468c-9ec0-214d2e9a7af2,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,289,1161,0,872,hybrid_manager_peer,hybrid_agent_api_doc_mr0_pr2,872,0.7510766580534023,segment_token_proxy,0,2135e5fa-e189-4b9e-b5c7-b11e53b4a8db,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,290,1164,0,874,hybrid_manager_peer,hybrid_agent_repo_search_mr0_pr2,874,0.7508591065292096,segment_token_proxy,0,3a2871e9-ae12-4149-889e-3f332ece6ad4,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,1558,1741,0,183,hybrid_manager_peer,hybrid_manager_r1,183,0.10511200459506032,segment_token_proxy,0,70cfcab3-b91f-4a79-b41c-da736984ed1e,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,248,1014,0,766,hybrid_manager_peer,hybrid_agent_test_reasoning_mr1,766,0.7554240631163708,segment_token_proxy,0,5a61403d-2ece-4915-bbc9-e2e487525f77,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,413,1670,0,1257,hybrid_manager_peer,hybrid_agent_patch_planning_mr1,1257,0.7526946107784431,segment_token_proxy,0,03879557-6c5a-4f90-ab70-699efae22c25,0,hybrid,hybrid_20260603_152755_367539
unavailable,unavailable,unavailable,unavailable,unavailable,317,1294,0,977,hybrid_manager_peer,hybrid_agent_repo_search_mr1,977,0.7550231839258115,segment_token_proxy,0,4b93e3bd-a004-436c-b8cd-c8ff406f9746,0,hybrid,hybrid_20260603_152755_367539
