backend_base_url,composed_subgraphs,end_time,end_to_end_latency,max_concurrent_running_requests,max_gpu_cache_usage_perc,max_waiting_requests,model_name,motif_type,prefix_cache_hits_total_delta,prefix_cache_queries_total_delta,prompt_id,start_time,status,task_id,trace_path,workflow_name,workflow_run_id,workflow_type
http://127.0.0.1:8000/v1,"[""decentralized"", ""centralized""]",49.544786,49.543176,6.0,0.030526,4.0,local-mas-model,debate,15840.0,121225.0,manual_b680a8555bda,0.00161,success,manual_b680a8555bda,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/debate_allgather_pressure_meso/manual_b680a8555bda/20260603_152251_329250.jsonl,debate_allgather_pressure_meso,debate_allgather_pressure_meso_20260603_152251_329250,motif
http://127.0.0.1:8000/v1,"[""independent""]",26.322232,26.320764999999998,4.0,0.013684,0.0,local-mas-model,independent_multi_branch,0.0,5521.0,manual_a7f81e645dd6,0.001467,success,manual_a7f81e645dd6,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/evidence_collection/manual_a7f81e645dd6/20260603_152058_347660.jsonl,evidence_collection,evidence_collection_20260603_152058_347660,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",34.938314,34.936327,16.0,0.042105,3.0,local-mas-model,manager_worker,0.0,19043.0,manual_cc72b4a208dc,0.001987,success,manual_cc72b4a208dc,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/hierarchical_synthesis_pressure_meso/manual_cc72b4a208dc/20260603_152341_398008.jsonl,hierarchical_synthesis_pressure_meso,hierarchical_synthesis_pressure_meso_20260603_152341_398008,motif
http://127.0.0.1:8000/v1,[],61.729982,61.727751,4.0,0.014737,1.0,local-mas-model,hybrid_manager_peer,1056.0,37976.0,manual_094d8a1535b0,0.002231,success,manual_094d8a1535b0,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/hybrid/manual_094d8a1535b0/20260603_152755_367539.jsonl,hybrid,hybrid_20260603_152755_367539,topology
http://127.0.0.1:8000/v1,"[""centralized""]",64.626301,64.625207,1.0,0.004211,0.0,local-mas-model,review_loop,0.0,6594.0,manual_f5253193ba44,0.001094,success,manual_f5253193ba44,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/retry_debug_pressure_meso/manual_f5253193ba44/20260603_152146_223035.jsonl,retry_debug_pressure_meso,retry_debug_pressure_meso_20260603_152146_223035,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",27.810433,27.80843,4.0,0.012105,0.0,local-mas-model,independent_multi_branch,2112.0,13435.0,manual_2a3784ba6267,0.002003,success,manual_2a3784ba6267,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/shared_memory_fanin_meso/manual_2a3784ba6267/20260603_152552_989083.jsonl,shared_memory_fanin_meso,shared_memory_fanin_meso_20260603_152552_989083,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",41.482346,41.480335,10.0,0.029474,0.0,local-mas-model,composite_tool_resume,5808.0,20414.0,manual_05d4ecc699a6,0.002011,success,manual_05d4ecc699a6,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_05d4ecc699a6/20260603_163652_571098.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163652_571098,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",41.578991,41.576647,10.0,0.028947,0.0,local-mas-model,composite_tool_resume,7920.0,20410.0,manual_0800559562bc,0.002344,success,manual_0800559562bc,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_0800559562bc/20260603_163938_901759.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163938_901759,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",29.930312,29.928279,6.0,0.015789,0.0,local-mas-model,composite_tool_resume,0.0,9453.0,manual_15054a3d3f23,0.002033,success,manual_15054a3d3f23,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_15054a3d3f23/20260603_152522_507846.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_152522_507846,motif
http://127.0.0.1:8000/v1,"[""independent"", ""centralized""]",39.918025,39.915952,6.0,0.017368,0.0,local-mas-model,composite_tool_resume,1584.0,12051.0,manual_4e9a96db2f92,0.002073,success,manual_4e9a96db2f92,/data/home/shegnxuanqiu/mas-serving/progress/week3/traces/tool_resume_contention_meso/manual_4e9a96db2f92/20260603_163612_203397.jsonl,tool_resume_contention_meso,tool_resume_contention_meso_20260603_163612_203397,motif
