policy,trace_path,workflow_result_ready_sec,trace_drain_completion_sec,critical_path_to_reviewer_sec,critical_decode_duration_sec,critical_ttft_ms,critical_tpot_ms,critical_tpot_p95_ms,tool_resume_overlap_count,deferred_request_count,max_defer_sec,median_defer_sec,tool_latency_median_sec,tool_latency_min_sec,tool_latency_max_sec,live_tavily_valid,streaming_valid,kernel_level_overlap_claimed
default_vllm,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_205925_443237.jsonl,13.274222,15.252381,11.361772,7.7951741218566895,46.852827072143555,15.253553185211002,19.14191246032715,4,0,0.0,0.0,0.775928388498869,0.7573353949992452,0.7951906559974304,True,True,False
critical_path_aware,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_205941_690539.jsonl,13.171783,17.074634,10.727727,7.20487904548645,46.4785099029541,14.09839417369865,18.704891204833984,0,4,7.011499404907227,7.011172771453857,0.6750396014977014,0.6690288999961922,0.7264335860018036,True,True,False
default_vllm,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_205959_798489.jsonl,13.206989,15.186428,11.292688,7.786711692810059,50.61078071594238,15.23704818083582,19.330263137817383,4,0,0.0,0.0,0.6721090799983358,0.6676648759967065,0.6817217470015748,True,True,False
critical_path_aware,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210015_987286.jsonl,13.149386,17.058215,10.729392,7.2006306648254395,47.41668701171875,14.090087782380165,18.736839294433594,0,4,7.006302356719971,7.0050294399261475,0.6736582064950198,0.6654340170061914,0.6814359859999968,True,True,False
default_vllm,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210034_251436.jsonl,13.23432,15.216632,11.315845,7.800003290176392,47.47819900512695,15.263017143055416,19.403696060180664,4,0,0.0,0.0,0.7075653644969861,0.7049846369991428,0.7165718070027651,True,True,False
critical_path_aware,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210050_482044.jsonl,13.144127,17.049465,10.713337,7.206763982772827,45.72296142578125,14.101980250408971,18.521547317504883,0,4,7.01366114616394,6.946146249771118,0.7419648024988419,0.6631393989955541,0.7508803089949652,True,True,False
default_vllm,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210108_595478.jsonl,13.274073,15.284507,11.343987,7.811591625213623,52.83355712890625,15.285558663235719,19.96898651123047,4,0,0.0,0.0,0.7063388974966074,0.6540599559957627,0.8682877749961335,True,True,False
critical_path_aware,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210125_028983.jsonl,13.169682,17.084971,10.748948,7.211463928222656,49.72338676452637,14.111269243542695,17.825603485107422,0,4,7.027379035949707,6.966855764389038,0.72929677400316,0.6706008559995098,0.7542221189942211,True,True,False
default_vllm,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210143_265657.jsonl,13.265221,15.249687,11.344376,7.814577102661133,47.23191261291504,15.291474803319883,19.46234703063965,4,0,0.0,0.0,0.7105832115012163,0.7057873259982443,0.7213779410012648,True,True,False
critical_path_aware,mas_workflow/traces/week6_real/main/tool_resume_contention_meso/manual_a5ce6b4eda2a/20260808_210159_696037.jsonl,13.194302,17.096581,10.764134,7.223635911941528,50.28080940246582,14.135096637703436,18.46790313720703,0,4,7.035916805267334,7.034693360328674,0.6760800705014844,0.669655325000349,0.724722491002467,True,True,False
